Carimbo de data/hora,Endereço de e-mail,"NOME DO EVENTO, SE HOUVER:",DATA DO EVENTO:,DESCREVA BREVEMENTE A PROPOSTA E A PROGRAMAÇÃO DO EVENTO:,O EVENTO SERÁ:,O EVENTO SERÁ VOLTADO PARA:,IRÃO AUXILIAR NO EVENTO:,"A ALIMENTAÇÃO SERÁ DIFERENTE? SE SIM, IRÃO PRECISAR DE ALGUM INGREDIENTE?","SERÁ NECESSÁRIA A CRIAÇÃO DE UMA ARTE DE DIVULGAÇÃO? SE SIM, COM QUAIS INFORMAÇÕES?","IRÃO PRECISAR DE ALGUM MATERIAL IMPRESSO? SE SIM, INSIRA A QUANTIDADE DE EXEMPLARES E ANEXE O MATERIAL.",COBERTURA DO MARKETING NO DIA DO EVENTO:,"HAVERÁ NECESSIDADE DE ALGUM MATERIAL/EQUIPAMENTO? SE SIM, QUAL?","ADICIONE ALGUM ARQUIVO/ANEXO, CASO HAJA NECESSIDADE:",HORÁRIO DO EVENTO:,Coluna 14
25/03/2026 10:42:08,coordenacao_dic@anabrasil.org,Roda de Conversa (Saúde Emocional),31/03/2023,"A roda de conversa sobre saúde emocional, sera realizada com os idosos e conduzida por psicopedagoga voluntária, proporcionando um momento de acolhimento, escuta e troca de experiências. A atividade vai contribuir para o fortalecimento de vínculos, promoção do bem-estar e prevenção do isolamento social, alinhando-se aos objetivos do SCFV.",Interno (Organizado pela Unidade),Os atendidos,Voluntários,Não,Não,,Irá precisar,Não,,11:00:00,
25/03/2026 10:46:30,coordenacao_dic@anabrasil.org,Visita Empresa Brasiliense,30/03/2026,"A visita à empresa Brasiliense, que será realizada com os adolescentes do projeto Trilhando Futuro, tem como objetivo proporcionar conhecimento sobre o ambiente profissional e aproximá-los do mundo do trabalho. Durante a atividade, os participantes irão conhecer a empresa e participar de palestras orientativas, contribuindo para o desenvolvimento de habilidades, ampliação de perspectivas e preparação para futuras oportunidades profissionais.",Externo (Organizado pelo Parceiro),Os atendidos,Voluntários,não,não,,Irá precisar,não,,09:00:00,
25/03/2026 14:31:07,dic@anabrasil.org,Ação Social - Objetivo ,02/04/2026,"O colégio Objetivo irá realizar uma ação social, em unidade Dic, por comemoração a Pascoa, onde estará entregando 1 caixa de bombom para cada atendido. Durante o periodo estaremos com atividades socieducativas e recreação. ",Externo (Organizado pelo Parceiro),Os atendidos,"Funcionários, Voluntários",NÃO ,NÃO ,,Irá precisar,"SIM - SACOLINHA SURPRESA COM - BALSAS, PIRULITOS, CHICLETES, PIPOCA DOCE 
QUANTIDADE PARA 420 ATENDIDOS ",,13:30:00,
27/03/2026 10:59:07,jdnilopolis@anabrasil.org,Páscoa - JNI,04/04/2026,"Local e Público-Alvo: O evento foca nas crianças das comunidades do bairro Gênesis e do ANA Nilópolis (unidade da Associação Nazarena Assistencial no Jardim Nilópolis). A celebração ocorre no Ginásio Municipal Dep. Nabi Abi Chedid, localizado no Parque Anhumas (Rua Ipê da Várzea).
Atividades e Atrações:
Apresentações Culturais: O evento conta com apresentações  ANA Nilópolis do Batuque e Hip Hop.
Diversão e Alimentação: Estão previstas atividades de recreação, brinquedos infláveis, além da distribuição de comidas para as crianças participantes.
Propósito: Além do lazer, a JNI busca transmitir o ""verdadeiro significado da Páscoa"" através de momentos de louvor e comunhão. ",Externo (Organizado pelo Parceiro),Os atendidos e suas famílias,Funcionários,Não,"Sim, convite para os familiares ",,Irá precisar,não,,09:00:00,
27/03/2026 11:14:05,coordenacao_dic@anabrasil.org,Exposição Carbono Zero,31/03/2026,"O Projeto Futuro Carbono Zero percorre o estado levando arte, tecnologia e reflexões sobre o planeta em uma carreta transformada em alegria. A amostra cria um percurso sensorial que une criatividade e educação ambiental.

",Externo (Organizado pelo Parceiro),Os atendidos,Funcionários,não,não,,Irá precisar,não,,14:00:00,
27/03/2026 16:17:10,dic@anabrasil.org,Culto de Páscoa e almoço especial ,02/04/2026,"No dia 02/04/2026, teremos nosso culto de Páscoa, com a contadora de histórias - Tia Polly ",Interno (Organizado pela Unidade),Os atendidos,Funcionários,"Strogonoff, arroz,  salada colorida e refrigerante ",NÃO ,,SE ACHAR IMPORTANTE SIM ,NÃO ,,14:00:00,
06/04/2026 15:34:49,coordenacao_dic@anabrasil.org,Palestra Com Grupo MM - Primeiros Socorros,25/04/2026,Uma palestra sobre primeiros socorros ensina como agir em emergências até a chegada de ajuda profissional.,Interno (Organizado pela Unidade),Os atendidos e suas famílias,Voluntários,"Sim, precisamos de doação de pão francês","Sim, horário , data, local e tema da palestra",,Irá precisar,não,,14:00:00,
13/04/2026 13:52:25,diretoriasantana@anabrasil.org,Integração funcionários- Social,17/04/2026,Integração de funcionários das unidades do Social para alinhamento de processos.,Interno (Organizado pela Unidade),Os funcionários,Funcionários,Não,"Sim. Uma chamada motivadora, data (17/04), horário (07:45) e local (ANA Nilópolis) do evento. Colocar também um lembrete sobre colaboração com item de café da manhã para café coletivo.",,Irá precisar,Não,,07:45:00,
14/04/2026 15:51:42,coordenacao_dic@anabrasil.org,Encontro de Profissões,09/05/2026,"O Encontro de Profissões Objetivo é um evento gratuito que conecta estudantes do ensino médio com profissionais renomados de diversas áreas. Uma manhã dedicada a esclarecer dúvidas, apresentar possibilidades e inspirar o seu futuro profissional.",Externo (Organizado pelo Parceiro),Os atendidos,Funcionários,Não,Não,,Irá precisar,Não,,08:30:00,
15/04/2026 14:53:23,dic@anabrasil.org,Encontro de mulheres - Mulheres que florescem ,30/05/2026,"Maio é trabalhado a semana da familia, normalmente não comemoramos o ""Dia das mães"" e sim semana da familia. Mas esse ano, gostariamos de reunir mulheres que cuidam. Assim oferecermos um tempo de qualidade, com uma proposta dinamica e acolhedora. O encontro “Mulheres que Florescem” surge como uma proposta de acolhimento, fortalecimento e renovação. Assim como uma flor precisa de tempo, cuidado e condições adequadas para florescer, cada mulher também passa por processos necessários para alcançar seu potencial. Este evento busca proporcionar um ambiente seguro onde mulheres possam se reconectar consigo mesmas, fortalecer sua identidade e compreender que mesmo em meio às dificuldades, é possível florescer.
",Interno (Organizado pela Unidade),Será aberto para a comunidade,"Funcionários, Voluntários","Sucos, bolachas, entre outros ",sim ,,Irá precisar,"Sim, caixas de som, microfenes, toalhas pretas, vasos de plantas, jarras para agua acrilico ",,14:00:00,
27/04/2026 14:58:25,coordenacao_dic@anabrasil.org,Baile da Pessoa Idosa,30/04/2026,"O Baile da Pessoa Idosa, realizado pelo CMI, tem como proposta promover a integração, socialização e valorização das pessoas idosas, proporcionando um momento de lazer, convivência e fortalecimento de vínculos.",Externo (Organizado pelo Parceiro),Os atendidos,Funcionários,NÃO,NÃO,,Irá precisar,NÃO,,14:00:00,
27/04/2026 15:00:40,coordenacao_dic@anabrasil.org,Entrega dos óculos com Parceiro Otica Prime,29/04/2026,Será feita a entrega dos óculos pela empresa parceira ótica prime,Interno (Organizado pela Unidade),Os atendidos,Funcionários,não,não,,Irá precisar,não,,08:00:00,
05/05/2026 13:59:06,dic@anabrasil.org,Abertura do Congemas ,07/05/2026,"26° Encontro Congemas- Sudeste 
( gestores,conselheiros e trabalhadores  do território).",Externo (Organizado pelo Parceiro),"( gestores,conselheiros e trabalhadores  do território).",Funcionários,NÃO ,NÃO ,,Irá precisar,NÃO,,10:00:00,
05/05/2026 14:10:52,dic@anabrasil.org,Passeata 18 de Maio ,15/05/2026,"Atividade direcionada para o território Sudoeste, onde OSCs estarã juntas, compartilhando informações relevantes sobre o tema 18 de Maio. A atividade é realizada em conjunto e orgqanizada em nossas reuniões mensais do Agita Rede. ",Externo (Organizado pelo Parceiro),Será aberto para a comunidade,Funcionários,NÃO ,NÃO ,,Irá precisar,NÃO ,,08:00:00,
05/05/2026 14:13:52,dic@anabrasil.org,Festa da Amizade ,28/05/2026,Apresentação de Coral e Dança em Festa da Amizade - unidade Nave Mãe Anisio ,Interno (Organizado pela Unidade),Os atendidos e suas famílias,Funcionários,NÃO ,NÃO ,,Irá precisar,NÃO ,,09:00:00,
06/05/2026 09:54:25,dic@anabrasil.org,Bazar Ana Dic ,25/05/2026,"Bazar em unidade Dic, com roupas com valor de R$ 1,00, a fim de beneficiar as familias e comunidade. ",Interno (Organizado pela Unidade),Será aberto para a comunidade,"Funcionários, Voluntários",NÃO ,SIM ,,Não irá precisar,SIM,,09:00:00,
13/05/2026 10:24:53,jdnilopolis@anabrasil.org,Ação 18  Maio,23/05/2026,"O 18 de Maio é o Dia Nacional de Combate ao Abuso e à Exploração Sexual de Crianças e Adolescentes no Brasil, marco da campanha #FaçaBonito. A data visa mobilizar a sociedade para proteger menores, denunciar abusos e quebrar o ciclo de violência, com o Disque 100 como principal ferramenta de denúncia",Externo (Organizado pelo Parceiro),Será aberto para a comunidade,Funcionários,não,não,https://drive.google.com/open?id=1jZFBB1mB9YWCghqrm9ETPCDgpDikrs-N,Irá precisar,não,,08:00:00,
